text,label
rt dawg rt ever fuck bitch start cry confused shit,1
sit hate another bitch got much shit going,1
amp might get ya bitch back amp thats,1
bad bitches thing like,1
black bottle amp bad bitch,1
fuck bitch dont even suck dick kermit videos bout fuck ig,1
spend money want bitch business,1
ya bitch,1
pussy powerful drug happyhumpday,1
quick piece pussy call drive,1
running round like brand new pussy thats bout get fucked,1
hoes like niggas spend money talk bout,1
yall niggas b cuffing hoes cause yall aint never bitches,1
gay niggas couldnt wait act like bitches tonight,1
females think dating pussy cute stuff make pussy,1
fuck red malone man bitch ass niggah could please use complete sentences,1
u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1
lmaooooooooooo nigga ltbitch want likes depressing shitfoh,1
yall shut upp make bitch,1
little stupid bitch dont fuck yoooooouuuu,1
really asked dead ass serious tho could say bitch wheet lol,1
im early bird im night owl im wise worms,2
hoes thinking meat wont slap ass ainna bruh,1
yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit,1
pornhub get gaming stream feature dumb bitches gtfo get katielt,1
naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne,1
ucfpinkparty come stay alive knights nation still early bird special comeatmeut,2
shut yo bitch ass,1
loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,1
def cowboy lol rt terrell owens best eagle amp cowboy ever dude cried like bitch tv romo,1
nah fam gotta cheat hoes depends female feel,1
ariza snake coward least isnt cripple like hero roach lmaoo,0
quote tweet favorite animalpussy,1
drakes new shoes released nikejordan yes theres glitter shoes dudes fag,0
hoesaintloyal well theyre hoesno one expects loyal,1
eli manning threw nflleading th interception season lmao trash,2
hickies thighs right pussy gtgtgt right,1
yea im ipad dont work friday lets ball faggot work,1
chrus still supahot tho walks teacher test drops test bitch fohead,1
slushes hoes nasty anyway famthem hoes taste like meds,1
yo bitch gucci mane rt bitch stoner,1
aint hoe get traphoussseeeee,1
ewww said last sundayas last sunday read nigs,1
ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,1
yeah texans much better fucking retard see youre mad,1
ya nigs still saying yall dont eat butt straight face,1
hes hoe cant,1
tevin favorite sophomore think hes funny hes really lmaoo hes little hoe,1
bored supposed cute faggot sometimes,0
take ride woof woof,2
fuckin hot gym pussy fuck yeah,1
call fireman cause turn hoes,1
tweety bird tho,2
k bye hoe um bye,1
one us drugs youre still wrong hahahahahahah im bitch sometimes,1
twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet,1
ummmmmm okay got hoes left right yah thang,1
thick raw fuck damn man pussy getting workout,1
im way love chavhot sexy scally fucker,1
yassssss ordered chinese bitch ate tacos fat fuck,1
bleed hoe alexa,1
boolin bando wit bitches,1
dont know ugly bitches dont know broke niggas,1
everything look better bitch next,1
fresh nigga kno need clean bitch kno im working cuz wanna see team rich,1
get shit bitch fine bear,1
u talking hoes bout bro n em talking hoes bout bro n em,1
dont even need picture tamar bitch beat every picture,1
found new way chug open mouth alot shitallysays,2
got sister told stop calling women bitches,1
ladylove shes married still wanna bang wont sex bitch troubadour probably,1
older men cause theyre mature supposed fool us bitch,1
went jail flock amp came home wit strike went jail bitch came home dike,1
im comparing kfc pussy,1
ibs irritable bitch syndrome,1
love hide yo bitch youll keep shorty,1
youre bad bitch put hands high every girl room starts waving hands around,1
allegations u bedroom u see words naive amp blind bitch know ur husband cheated u ramona dumb,1
never late tag bitch,1
julia roberts youre ho nottinghill,1
lol cripple wendy davis rt scientists create remotecontrolled chick study shy penguins,2
lets nips ahoy spank maybe,1
boats hoes please thanks mom,1
shake bear aka two rednecks sex dead bear,1
slow fuck bitch know live classy young lady,1
stop looking us go eat pussy yuppie fucks,1
recipe calls leftover brownie hell leftover brownie thats brownie havent eaten yet,2
u got k bitch niggaal haymon antonio tarver,1
whaaaaaat lmaooo thats luv u fat bitches cuz yall got big ole titties phat booties,1
walked bitch like nigga made,1
queer hut like butt,0
people think gay marriage okay beyond sorry dont want future son seeing fags walking street holding hands,0
would want play pussy dead snl,1
would want pussy side burns thats good question hahahahaha,1
yall forget brand new baby girl home bitch cookies burning,1
yo mama bitch rt one sentence ended relationship,1
look cute today really helll swerve hoe,1
took land could make retarded diapers sureuse imagecool redskins nfl concussion jokes,1
bitch vagina little resilient,1
pussy root drama attribute put head mama,1
day judgement everybody gonna looking big jumbotron watching fuck majjinn buu bitch,1
dont show bitch unless look like dolly parton,1
britney bitch bible leviticus,1
omg bitch fucking stupid swear blah blah blah week later omg ilysm bae ur best friend swear,1
riding bros still dont trust hoes,1
rappers say twat makes feel weird,2
personidbitchslap fa blowin tl like bitches spare tire leavin dairy queen,1
breaking ap calls mass governor race charlie baker watch live coverage wcvb streaming online,2
bangbangbirdgang ya bitch fruit loop,1
bestsongtohavesexto bitches love sosa bangbang,1
degenerateartist isnt bitch walks back wordsgt isnt witch questions turdgt im glitch evolves absurd,1
degenerateartist knows wordsgt bo jingo dangle fan slang ho ting pang lick drum swing flick alarm bicgt cant hear fire,1
fact females tweet dayum day r hoes need attention ijs wontgetme,1
freeballoutpartypart bitch going mo weeks,1
happycolumbusday wasnt americakarlmarx would never thought sharing colonialism injuns,2
havok one bad bitch wouldnt wanna mess tna impact,1
idonthavetimefor ratchet hoes,1
inmiddleschool fat hell band faggot thank god played sports th grade didnt stay band,1
nl queen reminded still dont get janelle monae perplexed people think shes queer,1
nowplaying bt feat tori amos blue skies radio edit thearrow,2
nowplaying ian hunter bitten twice shy thearrow,2
pacernation road perfect way continue iubb finished nba pacers indiana hoosiers,2
reasonswhywedontgetalong youre hoe stop focusing sucking dick focus getting rich,1
signsofcockblockin gtrt niggahs telling hoes im talking cant get fuckniggahs,1
tbt love forever ling ling,2
thingsnottodoonafirstdate give da dick u gotta half stroke da pussy bc u dump dick dat bitch gon become extremely anoyin,1
tomyfutureson fuck dem hoes better love dem hoes,1
tweetlikeyourbestfriend made bitches,1
wearerepublicnotregime potus bo violated usa sovereignty wopen borderjihadiscriminaldiseasedhaitianssamericans impeachobama,2
whyihateinstagram make bitch cheat four points scale,1
yankees damn well joe move bullpen really helped,2
agreed rt badd ones idkmixxed bitches really tho,1
firefighter job white trash,0
gouache inktober oldpainting mt tiki wahine surf monkey bright happysunday peace wishing,2
illneverunderstandwhy anyone jersey shore famous go guido shitbag means money family,1
iubb suiting tonight indiana iu ncaa hoosierdaddy hoosiernation hoosiers,2
klokus bitch nose pierced,1
mt goauche monkey oldpainting vinyl jazz lounge,2
pornandroidiphoneipadsexxxx close another pussy close,1
pornandroidiphoneipadsexxxx closeup squirting pussy fingered asshole,1
pornandroidiphoneipadsexxxx fisting dude fists wifes big pussy,1
pornandroidiphoneipadsexxxx hairy year old hairy pussy cumming fingers,1
pornandroidiphoneipadsexxxx hairy hairy pussy,1
pornandroidiphoneipadsexxxx homemade home made wife rubbing pussy,1
pornandroidiphoneipadsexxxx homemade using submissive bitch outdoor home made amateur,1
pornandroidiphoneipadsexxxx latina latina tight pussy,1
